design_id,design_role,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,inside_experimental_convex_hull
map_0130,interpolation_holdout,450,1,1.0,0.5,True
map_0131,interpolation_holdout,300,1,1.4,0.3,True
map_0132,interpolation_holdout,450,1,0.9,0.0,True
map_0133,interpolation_holdout,600,10,1.0,0.3,False
map_0134,interpolation_holdout,450,1,0.7,0.7,False
map_0135,interpolation_holdout,750,1,0.6,0.05,False
map_0136,interpolation_holdout,300,20,1.4,0.7,False
map_0137,interpolation_holdout,750,1,1.4,0.5,False
map_0138,interpolation_holdout,300,5,0.6,0.0,False
map_0139,interpolation_holdout,300,10,1.4,0.0,False
map_0140,interpolation_holdout,300,20,0.7,0.7,False
map_0141,interpolation_holdout,750,5,0.6,0.7,False
map_0142,interpolation_holdout,600,1,1.2,0.0,False
map_0143,interpolation_holdout,750,10,1.4,0.7,False
map_0144,interpolation_holdout,750,10,0.6,0.0,False
